ATG7	OMIM:619422
ATIC	OMIM:608688
ATL1	OMIM:182600
ATL1	OMIM:613708
ATL3	OMIM:615632
ATM	OMIM:114480
ATM	OMIM:208900
ATN1	OMIM:125370
ATN1	OMIM:618494
ATOH7	OMIM:221900
ATP11C	OMIM:301015
ATP13A2	OMIM:606693
ATP13A2	OMIM:617225
ATP13A3	OMIM:265400
ATP1A1	OMIM:618036
ATP1A1	OMIM:618314
ATP1A2	OMIM:104290
ATP1A2	OMIM:602481
ATP1A2	OMIM:619602
ATP1A2	OMIM:619605
ATP1A3	OMIM:128235
ATP1A3	OMIM:601338
ATP1A3	OMIM:614820
ATP1A3	OMIM:619606
ATP2A1	OMIM:601003
ATP2A2	OMIM:101900
ATP2A2	OMIM:124200
ATP2B2	OMIM:601386
ATP2B3	OMIM:302500
ATP2C1	OMIM:169600
ATP5F1A	OMIM:615228
ATP5F1A	OMIM:616045
ATP5F1D	OMIM:618120
ATP5F1E	OMIM:614053
ATP5MC3	OMIM:619681
ATP5MK	OMIM:618683
ATP6AP1	OMIM:300972
ATP6AP2	OMIM:300423
ATP6AP2	OMIM:300911
ATP6AP2	OMIM:301045
ATP6	OMIM:535000
ATP6	OMIM:551500
ATP6V0A2	OMIM:219200
ATP6V0A2	OMIM:278250
ATP6V0A4	OMIM:602722
ATP6V1A	OMIM:617403
ATP6V1A	OMIM:618012
ATP6V1B1	OMIM:267300
ATP6V1B2	OMIM:124480
ATP6V1B2	OMIM:616455
ATP6V1E1	OMIM:617402
ATP7A	OMIM:300489
ATP7A	OMIM:304150
ATP7A	OMIM:309400
ATP7B	OMIM:277900
ATP8A2	OMIM:615268
ATP8B1	OMIM:147480
ATP8B1	OMIM:211600
ATP8B1	OMIM:243300
ATPAF2	OMIM:604273
ATR	OMIM:210600
ATR	OMIM:614564
ATRX	OMIM:300448
ATRX	OMIM:301040
ATRX	OMIM:309580
ATXN10	OMIM:603516
ATXN1	OMIM:164400
ATXN2	OMIM:168600
ATXN2	OMIM:183090
ATXN3	OMIM:109150
ATXN7	OMIM:164500
ATXN8	OMIM:608768
ATXN8OS	OMIM:168600
ATXN8OS	OMIM:608768
AUH	OMIM:250950
AURKA	OMIM:114500
AURKC	OMIM:243060
AUTS2	OMIM:615834
AVIL	OMIM:618594
AVP	OMIM:125700
AVPR2	OMIM:300539
AVPR2	OMIM:304800
AXIN1	OMIM:114550
AXIN1	OMIM:607864
AXIN2	OMIM:114500
AXIN2	OMIM:608615
AXL	OMIM:146110
B2M	OMIM:105200
B2M	OMIM:241600
B3GALNT2	OMIM:615181
B3GALT6	OMIM:271640
B3GALT6	OMIM:609465
B3GALT6	OMIM:615349
B3GAT3	OMIM:245600
B3GLCT	OMIM:261540
B4GALNT1	OMIM:609195
B4GALT1	OMIM:607091
B4GALT7	OMIM:130070
B4GAT1	OMIM:615287
B9D1	OMIM:614209
B9D1	OMIM:617120
B9D2	OMIM:614175
BAAT	OMIM:619232
BACH2	OMIM:618394
BAG3	OMIM:612954
BAG3	OMIM:613881
BANF1	OMIM:614008
BAP1	OMIM:614327
BARD1	OMIM:114480
BAX	OMIM:114500
BAX	OMIM:613065
BBIP1	OMIM:615995
BBS10	OMIM:615987
BBS12	OMIM:615989
BBS1	OMIM:209900
BBS2	OMIM:615981
BBS2	OMIM:616562
BBS4	OMIM:615982
BBS5	OMIM:615983
BBS7	OMIM:615984
BBS9	OMIM:615986
BCAP31	OMIM:300475
BCAS3	OMIM:619641
BCAT2	OMIM:618850
BCHE	OMIM:617936
BCKDHA	OMIM:248600
BCKDHB	OMIM:248600
BCKDK	OMIM:614923
BCL10	OMIM:137245
BCL10	OMIM:156240
BCL10	OMIM:273300
BCL10	OMIM:605027
BCL10	OMIM:616098
BCL11A	OMIM:617101
BCL11B	OMIM:617237
BCL11B	OMIM:618092
BCO1	OMIM:115300
BCORL1	OMIM:301029
BCOR	OMIM:300166
BCOR	OMIM:309800
BCR	OMIM:608232
BCR	OMIM:613065
BCS1L	OMIM:124000
BCS1L	OMIM:262000
BCS1L	OMIM:603358
BDP1	OMIM:618257
BEAN1	OMIM:117210
BEST1	OMIM:153700
BEST1	OMIM:193220
BEST1	OMIM:611809
BEST1	OMIM:613194
BFSP1	OMIM:611391
BFSP2	OMIM:611597
BGN	OMIM:300106
BGN	OMIM:300989
BHLHA9	OMIM:607539
BHLHA9	OMIM:609432
BICC1	OMIM:601331
BICD2	OMIM:615290
BICD2	OMIM:618291
BICRA	OMIM:619325
BIN1	OMIM:255200
BLK	OMIM:613375
BLM	OMIM:210900
BLNK	OMIM:613502
BLOC1S3	OMIM:614077
BLOC1S5	OMIM:619172
BLOC1S6	OMIM:614171
BLTP1	OMIM:617822
BLVRA	OMIM:614156
BMP15	OMIM:300510
BMP1	OMIM:614856
BMP2	OMIM:112600
BMP2	OMIM:235200
BMP2	OMIM:617877
BMP4	OMIM:600625
BMP4	OMIM:607932
BMPER	OMIM:608022
BMPR1A	OMIM:174900
BMPR1A	OMIM:610069
BMPR1B	OMIM:112600
BMPR1B	OMIM:609441
BMPR1B	OMIM:616849
BMPR2	OMIM:178600
BMPR2	OMIM:265450
BMS1	OMIM:107600
BNC1	OMIM:618723
BNC2	OMIM:618612
BOLA3	OMIM:614299
BPGM	OMIM:222800
BPNT2	OMIM:614078
BPTF	OMIM:617755
BPY2	OMIM:415000
BRAF	OMIM:114500
BRAF	OMIM:115150
BRAF	OMIM:155600
BRAF	OMIM:163950
BRAF	OMIM:211980
BRAF	OMIM:613706
BRAF	OMIM:613707
BRAT1	OMIM:614498
BRAT1	OMIM:618056
BRCA1	OMIM:114480
BRCA1	OMIM:604370
BRCA1	OMIM:617883
BRCA2	OMIM:114480
BRCA2	OMIM:155255
BRCA2	OMIM:176807
BRCA2	OMIM:194070
BRCA2	OMIM:605724
BRCA2	OMIM:612555
BRCA2	OMIM:613029
BRCA2	OMIM:613347
BRDT	OMIM:617644
BRF1	OMIM:616202
BRIP1	OMIM:114480
BRIP1	OMIM:609054
BRPF1	OMIM:617333
BRWD3	OMIM:300659
BSCL2	OMIM:269700
BSCL2	OMIM:270685
BSCL2	OMIM:615924
BSCL2	OMIM:619112
BSND	OMIM:602522
BTD	OMIM:253260
BTG4	OMIM:619009
BTK	OMIM:300755
BTK	OMIM:307200
BTNL2	OMIM:612387
BUB1B	OMIM:114500
BUB1B	OMIM:257300
BUB1	OMIM:114500
BVES	OMIM:616812
C11ORF80	OMIM:618432
C12ORF4	OMIM:618221
C12ORF57	OMIM:218340
C14ORF39	OMIM:619202
C14ORF39	OMIM:619203
C19ORF12	OMIM:614298
C19ORF12	OMIM:615043
C1GALT1C1	OMIM:300622
C1QA	OMIM:613652
C1QB	OMIM:613652
C1QBP	OMIM:617713
C1QC	OMIM:613652
C1QTNF5	OMIM:605670
C1R	OMIM:130080
C1S	OMIM:613783
C1S	OMIM:617174
C2CD3	OMIM:615948
C2	OMIM:217000
C2ORF69	OMIM:619423
C3	OMIM:612925
C3	OMIM:613779
C4A	OMIM:614380
C4B	OMIM:614379
C5	OMIM:609536
C6	OMIM:612446
C7	OMIM:610102
C8A	OMIM:613790
C8B	OMIM:613789
C9	OMIM:613825
C9ORF72	OMIM:105550
CA12	OMIM:143860
CA2	OMIM:259730
CA5A	OMIM:615751
CA8	OMIM:613227
CABP2	OMIM:614899
CABP4	OMIM:610427
CACNA1A	OMIM:108500
CACNA1A	OMIM:141500
CACNA1A	OMIM:183086
CACNA1A	OMIM:617106
CACNA1B	OMIM:618497
CACNA1C	OMIM:601005
CACNA1C	OMIM:611875
CACNA1C	OMIM:618447
CACNA1D	OMIM:614896
CACNA1D	OMIM:615474
CACNA1E	OMIM:618285
CACNA1F	OMIM:300071
CACNA1F	OMIM:300476
CACNA1F	OMIM:300600
CACNA1G	OMIM:616795
CACNA1G	OMIM:618087
CACNA1H	OMIM:617027
CACNA1S	OMIM:170400
CACNA1S	OMIM:188580
CACNA1S	OMIM:601887
CACNA2D2	OMIM:618501
CACNA2D4	OMIM:610478
CACNB2	OMIM:611876
CACNB4	OMIM:607682
CACNB4	OMIM:613855
CACNG2	OMIM:614256
CADM3	OMIM:619519
CAD	OMIM:616457
CALCRL	OMIM:618773
CALM1	OMIM:614916
CALM1	OMIM:616247
CALM2	OMIM:616249
CALM3	OMIM:618782
CALR	OMIM:187950
CALR	OMIM:254450
CAMK2A	OMIM:617798
CAMK2A	OMIM:618095
CAMK2B	OMIM:617799
CAMK2G	OMIM:618522
CAMTA1	OMIM:614756
CANT1	OMIM:251450
CANT1	OMIM:617719
CAPN15	OMIM:619318
CAPN1	OMIM:616907
CAPN3	OMIM:253600
CAPN3	OMIM:618129
CAPN5	OMIM:193235
CARD10	OMIM:619632
CARD11	OMIM:615206
CARD11	OMIM:616452
CARD11	OMIM:617638
CARD14	OMIM:173200
CARD14	OMIM:602723
CARD8	OMIM:619079
CARD9	OMIM:212050
CARMIL2	OMIM:618131
CARS1	OMIM:618891
CARS2	OMIM:616672
CARTPT	OMIM:601665
CASK	OMIM:300422
CASK	OMIM:300749
CASK	OMIM:300908
CASP10	OMIM:603909
CASP10	OMIM:605027
CASP10	OMIM:613659
CASP14	OMIM:617320
CASP8	OMIM:114480
CASP8	OMIM:114550
CASP8	OMIM:211980
CASP8	OMIM:607271
CASQ1	OMIM:616231
CASQ2	OMIM:604772
CASQ2	OMIM:611938
CASR	OMIM:145980
CASR	OMIM:239200
CASR	OMIM:601198
CAST	OMIM:616295
CATIP	OMIM:619379
CAT	OMIM:614097
CATSPER1	OMIM:612997
CATSPER2	OMIM:611102
