Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
d014801	4-oxoretinol	C041819	62702-55-0	PLAAT4	5920	Homo sapiens	9606	17034753
d014801	4-oxoretinol	C041819	62702-55-0	RARA	5914	Homo sapiens	9606	17034753
d014801	4-oxoretinol	C041819	62702-55-0	RARRES1	5918	Homo sapiens	9606	17034753
d014801	4-oxoretinol	C041819	62702-55-0	TGM2	7052	Homo sapiens	9606	17034753
d014801	Alitretinoin	D000077556	5300-03-8	ABCA1	19	Homo sapiens	9606	16023994|16184197|17478430
d014801	Alitretinoin	D000077556	5300-03-8	ABCC6	368	Homo sapiens	9606	17045963
d014801	Alitretinoin	D000077556	5300-03-8	ABCG1	9619	Homo sapiens	9606	16024918|16730733
d014801	Alitretinoin	D000077556	5300-03-8	ADIPOR1	51094	Homo sapiens	9606	16023994
d014801	Alitretinoin	D000077556	5300-03-8	AIP	9049	Homo sapiens	9606	15982314
d014801	Alitretinoin	D000077556	5300-03-8	AKT1	207	Homo sapiens	9606	16340750
d014801	Alitretinoin	D000077556	5300-03-8	ANXA1	301	Homo sapiens	9606	28886987
d014801	Alitretinoin	D000077556	5300-03-8	ANXA2	302	Homo sapiens	9606	28886987
d014801	Alitretinoin	D000077556	5300-03-8	ANXA5	308	Homo sapiens	9606	28886987
d014801	Alitretinoin	D000077556	5300-03-8	APOA2	336	Homo sapiens	9606	8668150
d014801	Alitretinoin	D000077556	5300-03-8	APP	351	Homo sapiens	9606	19659691
d014801	Alitretinoin	D000077556	5300-03-8	BAX	581	Homo sapiens	9606	12189556|16109544|16340750|16909596
d014801	Alitretinoin	D000077556	5300-03-8	BCL2	596	Homo sapiens	9606	12189556|16109544|16909596|17077328
d014801	Alitretinoin	D000077556	5300-03-8	BCL2L11	10018	Homo sapiens	9606	16340750
d014801	Alitretinoin	D000077556	5300-03-8	BGLAP	632	Homo sapiens	9606	12898515
d014801	Alitretinoin	D000077556	5300-03-8	CA2	760	Homo sapiens	9606	16340750
d014801	Alitretinoin	D000077556	5300-03-8	CASP3	836	Homo sapiens	9606	16109544|16909596
d014801	Alitretinoin	D000077556	5300-03-8	CASP8	841	Homo sapiens	9606	16449964
