source	target	link	AMI_number
EZR	SPN	ppi	2
MSN	ICAM3	ppi	2
MSN	SPN	ppi	2
ITGAD	ICAM3	ppi	2
PTH1R	PTH	ppi	2
SLC4A8	CA2	ppi	2
DSG3	PKP3	ppi	3
LOR	CSTA	ppi	3
LOR	PI3	ppi	3
LOR	KRT1	ppi	3
LOR	IVL	ppi	3
KRT8	KRT18	ppi	3
KRT8	PKP1	ppi	3
KRT8	PNN	ppi	3
KRT8	FGFR3	ppi	3
KRT8	QRSL1	ppi	3
KRT18	PNN	ppi	3
KRT18	PKP3	ppi	3
KRT14	PKP1	ppi	3
CTSK	FGFR3	ppi	3
CTSK	SERPINB3	ppi	3
DSC3	PKP4	ppi	3
DSC3	UCHL5	ppi	3
DSC3	PKP3	ppi	3
PI3	CSTA	ppi	3
PI3	KRT1	ppi	3
DSC2	PKP3	ppi	3
CSTA	CTSL	ppi	3
CSTA	UCHL5	ppi	3
CSTA	KRT1	ppi	3
CSTA	IVL	ppi	3
CTSL	SERPINB3	ppi	3
CTSL	BTN3A3	ppi	3
CCDC17	FGFR3	ppi	3
KRT1	IVL	ppi	3
FGF9	FGFR3	ppi	3
SERPINB3	UCHL5	ppi	3
PKP1	UCHL5	ppi	3
IVL	UCHL5	ppi	3
FGFR3	SMG7	ppi	3
FGFR3	BORA	ppi	3
UCHL5	CTSD	ppi	3
PDGFB	COL1A2	ppi	4
PDGFB	PDGFRA	ppi	4
PDGFB	COL1A1	ppi	4
PDGFB	HSPG2	ppi	4
PDGFB	COL2A1	ppi	4
PDGFB	COL3A1	ppi	4
PDGFB	COL4A1	ppi	4
PDGFB	COL5A1	ppi	4
PDGFB	COL6A1	ppi	4
PDGFB	SPARC	ppi	4
PDGFB	PDGFA	ppi	4
LAMB3	COL7A1	ppi	4
LAMC2	COL7A1	ppi	4
AUP1	ITGA2	ppi	4
AUP1	ITGAM	ppi	4
ITGAL	ICAM1	ppi	4
ITGAL	SHARPIN	ppi	4
DAG1	CAV1	ppi	4
DAG1	CAV3	ppi	4
DAG1	LAMA5	ppi	4
DAG1	LAMA2	ppi	4
PLAU	SERPINE2	ppi	4
PLAU	PLAT	ppi	4
PLAU	SERPINA5	ppi	4
PLAU	PLAUR	ppi	4
PLAU	SERPINB2	ppi	4
PLAU	PDGFC	ppi	4
PLAU	SCAMP5	ppi	4
SPARC	COL1A1	ppi	4
SPARC	COL3A1	ppi	4
SPARC	COL5A1	ppi	4
COCH	COL1A1	ppi	4
COCH	COL2A1	ppi	4
COCH	COL4A1	ppi	4
CAV1	PDGFRA	ppi	4
COL3A1	MAG	ppi	4
COL3A1	PDGFA	ppi	4
SERPINI1	PLAT	ppi	4
COL2A1	PKD1	ppi	4
COL2A1	MAG	ppi	4
COL2A1	PRELP	ppi	4
COL2A1	PDGFA	ppi	4
LAMA1	HSPG2	ppi	4
LAMA1	PLAT	ppi	4
LAMA1	ITGA2	ppi	4
SHARPIN	ITGA2	ppi	4
SHARPIN	ITGAM	ppi	4
ICAM1	ITGAM	ppi	4
COL5A1	MAG	ppi	4
COL5A1	PDGFA	ppi	4
PDGFC	PDGFRA	ppi	4
PDGFC	PLAT	ppi	4
COX8A	AMBP	ppi	4
PLAT	FN1	ppi	4
