GeneSymbol	ActiveModule	ActiveGene	overlapSignificant
PGAM5	9	False	False
XIAP	9	True	False
IGF2BP1	9	False	False
RIPK2	9	False	False
NOD1	9	False	False
TNFRSF10B	9	False	False
NMB	9	False	False
CASP8	9	False	False
CFLAR	9	True	False
CASP10	9	False	False
CASP4	9	False	False
SERPINB9	9	True	False
CASP7	9	True	False
BIRC6	9	False	False
DFFA	9	False	False
DEDD	9	False	False
GZMB	9	False	False
CASP6	9	False	False
CCT2	9	False	False
HSP90B1	9	True	False
MBD4	9	False	False
FAS	9	True	False
UBE2Q2	9	False	False
BIRC5	9	True	False
DIABLO	9	False	False
CASP2	9	False	False
PACS2	9	False	False
ECH1	9	False	False
CASP9	9	True	False
DGKH	9	False	False
RIPK3	9	False	False
FADD	9	False	False
GSPT1	9	False	False
PTGES3	9	False	False
RIPK1	9	False	False
RIPK4	9	False	False
DEDD2	9	False	False
MAP2K2	10	False	False
MAPK3	10	True	False
PPP2R5B	10	False	False
IER3	10	True	False
STAR	10	True	False
TNIP2	10	False	False
MAPK1	10	True	False
CUEDC2	10	False	False
BTBD10	10	False	False
ATP1A1	10	False	False
CPXM1	10	False	False
TIAL1	10	False	False
ELK4	10	False	False
DUSP2	10	True	False
PLIN2	10	False	False
MAPK10	10	True	False
PPP2R5C	10	False	False
TTYH3	10	False	False
FOXO3	10	False	False
ELK1	10	False	False
DUSP3	10	False	False
TH	10	True	False
TYSND1	10	False	False
MAP3K8	10	True	False
CHUK	10	False	False
DUSP5	10	True	False
SUPT20H	10	False	False
PKMYT1	10	False	False
MAPK14	10	False	False
GDF15	10	True	False
PTPN5	10	False	False
TPR	10	True	False
BRAF	10	False	False
MAP3K5	10	True	False
MAP3K6	10	False	False
MKNK1	10	False	False
TNFRSF25	10	False	False
DUSP1	10	True	False
MAP2K1	10	False	False
MAPK8IP3	10	False	False
ARRB1	10	False	False
S100A8	11	True	False
S100A9	11	True	False
NCF2	11	False	False
NOXO1	11	False	False
CYBA	11	True	False
SIGLEC7	11	False	False
LGALS3BP	11	True	False
ALCAM	11	False	False
LGALS3	11	True	False
PELO	11	True	False
PTEN	11	False	False
LGALS1	11	False	False
ART3	11	False	False
PRKCD	11	True	False
MGAM	11	False	False
NCF1	11	True	False
ITGA6	11	True	False
NCF4	11	False	False
SIGLEC11	11	False	False
CD6	11	False	False
PDCD11	11	False	False
NOXA1	11	False	False
SIGLEC6	11	False	False
C1GALT1C1	11	False	False
SIGLEC10	11	False	False
FCGR2A	11	False	False
SIGLEC9	11	False	False
HSD17B1	11	True	False
HLF	12	False	False
MYB	12	True	False
HOXD13	12	True	False
CREBBP	12	False	False
PLAGL1	12	True	False
HOXB4	12	True	False
PPM1K	12	False	False
SKI	12	False	False
DAXX	12	False	False
MYH11	12	True	False
HOXB3	12	True	False
EDNRA	13	True	False
EDN1	13	True	False
ITGB2	13	True	False
PRKCE	13	False	False
ADAP1	13	False	False
PRKD1	13	True	False
PPP1R14A	13	True	False
CSNK1A1	13	False	False
RANBP9	13	False	False
S100A7	13	True	False
COPS5	13	False	False
SERPINE1	14	False	True
FAM20B	14	False	True
SERPINB2	14	True	True
ITGA2	14	False	True
SERPINI1	14	False	True
ITGAM	14	True	True
PLAUR	14	False	True
SERPINA5	14	False	True
F10	14	False	True
BMP1	14	False	True
PLAT	14	True	True
PDGFRA	14	True	True
HSPG2	14	False	True
ITGAL	14	False	True
PDGFC	14	True	True
SHARPIN	14	False	True
ULBP2	14	False	True
SFTPD	14	False	True
ICAM1	14	True	True
COL5A1	14	False	True
FGA	14	False	True
DCN	14	True	True
LAMA1	14	False	True
PDGFA	14	True	True
PLAU	14	False	True
COL3A1	14	False	True
AUP1	14	False	True
COL14A1	14	False	True
AHSG	14	False	True
COL6A1	14	False	True
ITGA1	14	True	True
COL1A2	14	True	True
LAMA3	14	False	True
PDGFB	14	False	True
NOG	15	False	True
BMP2	15	True	True
TGFBR1	15	True	True
BAMBI	15	True	True
BMP4	15	True	True
WFIKKN2	15	False	True
FKBP1A	15	False	True
ENG	15	False	True
TGFBR2	15	True	True
ACVR1B	15	False	True
FSTL1	15	False	True
BMPR2	15	False	True
TSR1	15	True	True
ACVRL1	15	False	True
BMP7	15	True	True
BMPR1B	15	False	True
ACVR1	15	False	True
BMPR1A	15	False	True
WFIKKN1	15	False	True
TAL1	16	False	False
TCF4	16	True	False
CFAP77	16	False	False
NEUROG3	16	False	False
TCF12	16	True	False
ABCE1	16	True	False
RNASEL	16	False	False
TAL2	16	False	False
MYF6	16	False	False
ASCL4	16	False	False
ID1	16	True	False
MYF5	16	False	False
TWIST2	16	False	False
ATP6V1B2	16	False	False
ZDHHC24	16	False	False
MYOD1	16	False	False
PSME2	16	True	False
ID2	16	True	False
TCEAL1	16	False	False
HOXB6	16	True	False
NHLH1	16	False	False
NUDT10	16	False	False
TCF23	16	False	False
RAB41	16	False	False
OLIG3	16	False	False
SLC39A13	16	False	False
ASCL3	16	False	False
C9orf171	16	False	False
TRIM72	16	False	False
TCF3	16	False	False
HAND2	16	True	False
KCTD14	16	False	False
GTF3C5	16	False	False
GATA4	16	True	False
NEDD9	16	True	False
TCF21	16	False	False
LYSMD1	16	False	False
TAPBPL	16	False	False
PRTN3	17	False	False
MAG	17	False	False
COL9A1	17	False	False
THBD	17	True	False
CCL2	17	True	False
COLQ	17	False	False
HYAL1	17	False	False
SPARC	17	False	False
ELANE	17	False	False
PF4	17	False	False
COL1A1	17	True	False
COL2A1	17	True	False
PSENEN	17	False	False
NID1	17	False	False
SERPING1	17	True	False
PKD1	17	False	False
MASP1	17	False	False
ITGA2B	17	False	False
SDC2	17	False	False
F2	17	False	False
ENO1	17	False	False
HRG	17	False	False
FBLN2	17	False	False
COL7A1	17	False	False
LACRT	17	False	False
CCR3	17	False	False
PRELP	17	False	False
COCH	17	False	False
FN1	17	True	False
REG3A	17	False	False
SERPINB1	17	True	False
COL4A1	17	True	False
CXCL12	17	False	False
NID2	17	False	False
MASP2	17	False	False
TNFAIP6	17	False	False
ACKR1	17	False	False
ACHE	17	True	False
MCL1	18	True	False
BBC3	18	False	False
BMF	18	False	False
BCL2	18	True	False
AVEN	18	False	False
CAPN2	18	False	False
BOK	18	False	False
BCL2A1	18	True	False
VDAC1	18	False	False
BAX	18	True	False
ITPR1	18	False	False
BCL2L1	18	True	False
METTL23	18	False	False
BNIP1	18	False	False
UCP1	18	True	False
TOMM20	18	False	False
HRK	18	False	False
PMAIP1	18	False	False
BIK	18	False	False
BID	18	False	False
DAD1	18	False	False
BCL2L2	18	False	False
BAK1	18	True	False
