node	seed
CTSK	TRUE
CTSL	TRUE
CXCL8	TRUE
CXCR5	TRUE
CYBB	TRUE
CYP1A1	TRUE
CYP24A1	TRUE
CYP3A4	TRUE
CYP4F2	TRUE
CYP7A1	TRUE
DAB2	TRUE
DAG1	TRUE
DBX1	TRUE
DCT	TRUE
DDX1	TRUE
DDX17	TRUE
DEFA1	TRUE
DHRS3	TRUE
DHRS9	TRUE
DIO1	TRUE
DPYSL3	TRUE
DRD2	TRUE
DSC2	TRUE
DSC3	TRUE
DSG3	TRUE
EDN1	TRUE
EFNB1	TRUE
EGFR	TRUE
EGR1	TRUE
EIF2AK2	TRUE
EMP1	TRUE
ENPP2	TRUE
EPO	TRUE
ERBB2	TRUE
ERBB3	TRUE
ERBB4	TRUE
ERRFI1	TRUE
ETS1	TRUE
EVX2	TRUE
F3	TRUE
FAS	TRUE
FASLG	TRUE
FASN	TRUE
FBP1	TRUE
FBP2	TRUE
FCER2	TRUE
FGF1	TRUE
FGF2	TRUE
FGF3	TRUE
FGF4	TRUE
FGF5	TRUE
FGF9	TRUE
FGFBP1	TRUE
FGFR2	TRUE
FGFR3	TRUE
FGFR4	TRUE
FGR	TRUE
FKBP1A	TRUE
FOLR1	TRUE
FOLR2	TRUE
FOS	TRUE
FOSL1	TRUE
FOXA1	TRUE
FOXA2	TRUE
FSHR	TRUE
FUT4	TRUE
FXYD3	TRUE
FYN	TRUE
GAP43	TRUE
GATA2	TRUE
GATA4	TRUE
GATA6	TRUE
GCK	TRUE
GDF5	TRUE
GFRA1	TRUE
GH1	TRUE
GJA1	TRUE
GJB3	TRUE
GNRH1	TRUE
GPX2	TRUE
GRASP	TRUE
GRIN1	TRUE
GRN	TRUE
GRP	TRUE
GSTA4	TRUE
GSTP1	TRUE
HBEGF	TRUE
HCK	TRUE
HGF	TRUE
HNF1A	TRUE
HNF1B	TRUE
HNF4A	TRUE
HOXA1	TRUE
HOXA5	TRUE
HOXB1	TRUE
HOXB4	TRUE
HOXC5	TRUE
HOXD10	TRUE
HOXD13	TRUE
HOXD4	TRUE
HSD17B1	TRUE
HSP90AA1	TRUE
HSP90B1	TRUE
IBSP	TRUE
ICAM1	TRUE
ICAM3	TRUE
IFNG	TRUE
IGF1	TRUE
IGF1R	TRUE
IGF2	TRUE
IGFBP2	TRUE
IGFBP3	TRUE
IGFBP4	TRUE
IGFBP5	TRUE
IGFBP6	TRUE
IHH	TRUE
IKZF1	TRUE
IL12B	TRUE
IL1A	TRUE
IL1B	TRUE
IL2	TRUE
IL2RA	TRUE
IL2RB	TRUE
IL6	TRUE
IL6R	TRUE
INHBA	TRUE
INS	TRUE
IRF1	TRUE
ITGA8	TRUE
ITGAL	TRUE
ITGAM	TRUE
ITGAV	TRUE
ITGB2	TRUE
ITGB3	TRUE
ITGB4	TRUE
ITGB5	TRUE
ITGB7	TRUE
IVL	TRUE
JUN	TRUE
JUNB	TRUE
KCNH2	TRUE
KITLG	TRUE
KLK7	TRUE
KPNA2	TRUE
KRT1	TRUE
KRT10	TRUE
KRT13	TRUE
KRT14	TRUE
KRT16	TRUE
KRT17	TRUE
KRT18	TRUE
KRT19	TRUE
KRT2	TRUE
KRT3	TRUE
KRT4	TRUE
KRT5	TRUE
KRT6A	TRUE
KRT7	TRUE
KRT8	TRUE
LAMB1	TRUE
LAPTM5	TRUE
LDHB	TRUE
LEF1	TRUE
LEFTY1	TRUE
LEP	TRUE
LGALS1	TRUE
LGALS3	TRUE
LGALS7	TRUE
LHX1	TRUE
LMNA	TRUE
LPA	TRUE
LPL	TRUE
LTF	TRUE
LYN	TRUE
MAP7	TRUE
MAPK1	TRUE
MAX	TRUE
MBP	TRUE
MC1R	TRUE
MDK	TRUE
MEIS1	TRUE
MEIS2	TRUE
MEOX1	TRUE
MIA	TRUE
MME	TRUE
MMP1	TRUE
MMP11	TRUE
MMP13	TRUE
MMP2	TRUE
MMP3	TRUE
MMP9	TRUE
MPO	TRUE
MST1	TRUE
MSX1	TRUE
MSX2	TRUE
MT3	TRUE
MUC17	TRUE
MUC2	TRUE
MUC4	TRUE
MUC5AC	TRUE
MUC5B	TRUE
MYB	TRUE
MYBL2	TRUE
MYC	TRUE
MYCN	TRUE
MZF1	TRUE
NCF1	TRUE
NCF2	TRUE
NDRG1	TRUE
NGFR	TRUE
NKX3-2	TRUE
NME1	TRUE
NOS1	TRUE
NOS2	TRUE
NOS3	TRUE
NOTCH1	TRUE
NPPA	TRUE
NPY	TRUE
NPY1R	TRUE
NR2C1	TRUE
NR2C2	TRUE
NR2F1	TRUE
NR2F2	TRUE
NR3C1	TRUE
NR4A1	TRUE
NR4A2	TRUE
NR4A3	TRUE
NR6A1	TRUE
NRDC	TRUE
NRGN	TRUE
NRIP1	TRUE
NTRK1	TRUE
NTRK2	TRUE
NTRK3	TRUE
ODC1	TRUE
OLR1	TRUE
OPRD1	TRUE
OPRK1	TRUE
OPRM1	TRUE
OTX2	TRUE
OXT	TRUE
PCK1	TRUE
PCP2	TRUE
PDGFA	TRUE
PDGFRA	TRUE
PDGFRB	TRUE
PECAM1	TRUE
PHC1	TRUE
PIK3CG	TRUE
PITX2	TRUE
PKM	TRUE
PLAT	TRUE
PLAU	TRUE
PLP1	TRUE
POU1F1	TRUE
POU4F2	TRUE
POU5F1	TRUE
PPARA	TRUE
PPARG	TRUE
PPP3CA	TRUE
PPP3CB	TRUE
PRKCA	TRUE
PRLR	TRUE
PRNP	TRUE
PTAFR	TRUE
PTEN	TRUE
PTGS1	TRUE
PTGS2	TRUE
PTH	TRUE
PTH1R	TRUE
PTHLH	TRUE
PTK2	TRUE
PTMA	TRUE
PTPN13	TRUE
RAI14	TRUE
RAI2	TRUE
RANBP1	TRUE
RARA	TRUE
RARB	TRUE
RARG	TRUE
RB1	TRUE
RBBP7	TRUE
RBP1	TRUE
RBP2	TRUE
RBP4	TRUE
RET	TRUE
RHO	TRUE
RLIM	TRUE
RNPEP	TRUE
RTN1	TRUE
RTN3	TRUE
RUNX3	TRUE
RXRA	TRUE
RXRG	TRUE
S100A7	TRUE
S100A8	TRUE
S1PR2	TRUE
SAG	TRUE
SAR1A	TRUE
SAT1	TRUE
SCD	TRUE
SDC2	TRUE
SELL	TRUE
SERPINB2	TRUE
SERPINC1	TRUE
SERPINE1	TRUE
SERPINH1	TRUE
SFTPA2	TRUE
SFTPB	TRUE
SFTPC	TRUE
SHH	TRUE
SHMT1	TRUE
SLA	TRUE
SLC10A1	TRUE
SLC18A3	TRUE
SLC2A2	TRUE
SLC2A3	TRUE
SLC2A4	TRUE
SLC5A5	TRUE
SLC9A1	TRUE
SMYD5	TRUE
SNAI2	TRUE
SOD1	TRUE
SOD2	TRUE
SOX9	TRUE
SP100	TRUE
SPARC	TRUE
SPN	TRUE
SPP1	TRUE
SPRR1B	TRUE
SREBF1	TRUE
STAR	TRUE
STARD3	TRUE
STAT1	TRUE
STRA6	TRUE
STRA8	TRUE
STS	TRUE
SULT2B1	TRUE
SUPT4H1	TRUE
TAT	TRUE
TCERG1	TRUE
TERT	TRUE
TFAP2A	TRUE
TFAP2C	TRUE
TFRC	TRUE
TGFA	TRUE
TGFB1	TRUE
TGFB2	TRUE
TGFB3	TRUE
TGFBR1	TRUE
TGFBR2	TRUE
TGM1	TRUE
TGM2	TRUE
TH	TRUE
THBD	TRUE
THRSP	TRUE
TIMP1	TRUE
TLX2	TRUE
TMSB10	TRUE
TNC	TRUE
TOP2A	TRUE
TP53	TRUE
TRH	TRUE
TRMT2A	TRUE
TSHB	TRUE
UCP1	TRUE
UCP2	TRUE
UCP3	TRUE
VCAM1	TRUE
VDR	TRUE
VEGFA	TRUE
VEGFC	TRUE
VIM	TRUE
VIP	TRUE
VIPR1	TRUE
WNT1	TRUE
WNT3A	TRUE
WNT8A	TRUE
WT1	TRUE
ZFP42	TRUE
