ANKRD36BP1	LZTS2
ANKRD36BP1	HOOK2
ANKRD36BP1	USHBP1
ANKRD36BP1	KRT31
ANKRD36BP1	TRAF2
ANKRD36BP1	CDR2
ANKRD36BP1	SKP1
ANKRD36BP1	KRTAP10-7
ANKRD36BP1	KRT15
URB1-AS1	PNMA1
URB1-AS1	FAM9B
URB1-AS1	PSMA3
LINC00526	CCDC57
LINC00526	KRT31
LINC00526	TRIM23
GAGE12I	EXOC3L2
GAGE12I	GMCL1
GAGE12I	GMCL2
KIF25-AS1	KRTAP3-2
LINC00588	RBPMS
ZNF702P	KRT40
NAALADL2	SLC30A3
NAALADL2	GRM2
NAALADL2	ITM2B
NAALADL2	LAPTM4B
FAM74A1	PHC2
FAM74A1	ID3
POM121L1P	TRIP6
ASTE1	XRCC4
TYMSOS	KRTAP10-8
TYMSOS	CCNDBP1
NYAP2	MORN4
KIRREL3-AS3	PSMA3
EXOC3-AS1	TEAD4
EXOC3-AS1	SIAH1
EXOC3-AS1	KRT40
NPBWR1	UBQLN2
PCDHGA4	SGTA
PCDHGA4	PAEP
CDR1	ZMYND10
CDR1	ARFIP2
CDR1	CEP19
CDR1	PTPN9
CDH5	PKP4
TEX28P2	TMCC3
BCL2L12	BCL2
BCL2L12	BCL2L1
BCL2L12	SGTA
BCL2L12	BAX
RPP21	RPP38
RPP21	RPP30
PANK2	SOCS4
PANK2	ABLIM2
PANK2	SKIC8
PANK2	RNF34
PANK2	ATL1
PANK2	HAUS7
PANK2	STUB1
PANK2	COPS3
PANK2	ACRV1
FBXL4	DNM2
FBXL4	TPP1
CHAT	ZNF829
CHAT	SPATA12
CHAT	KRTAP8-1
CHAT	SPATS1
CHAT	EEF1DP3
CHAT	RBM46
CHAT	C8orf48
CHAT	KLC3
CHAT	ISCA2
CHAT	ATP5IF1
CHAT	PPP1R16A
CHAT	RNF208
CHAT	TSC22D4
CHAT	NDEL1
CHAT	PLEKHS1
CHAT	KCTD17
CHAT	ZC2HC1C
CHAT	CHST8
CHAT	MIIP
CHAT	PARP11
CHAT	MRAP
CHAT	MNS1
CHAT	AGGF1
CHAT	LAMTOR1
CHAT	BRWD1
CHAT	BRPF3
CHAT	BAHD1
CHAT	RALBP1
CHAT	PDE4DIP
CHAT	UBL4A
CHAT	STAM
CHAT	WT1
CHAT	PDE6H
CHAT	ODF2
CHAT	NCF1
CHAT	NBL1
CHAT	MAOB
CHAT	LASP1
CHAT	JUNB
CHAT	HSPD1
CHAT	FOXA3
CHAT	GATA3
CHAT	GABPB1
CHAT	EZH2
CHAT	DVL2
FAHD2A	DLST
FAHD2A	CALR
THBS3	DLST
THBS3	CALR
NXPE1	DLST
NXPE1	CALR
EPCAM	DLST
EPCAM	CALR
EPCAM	CDK5R1
ALDH4A1	ARG1
ALDH4A1	RBBP4
KAZALD1	KLF11
KAZALD1	BAG6
VSX1	BAG6
TCTN3	BAG6
YRDC	RBBP9
YRDC	NUP58
YRDC	KLF11
YRDC	BAG6
YRDC	DNALI1
TPMT	LMO3
LCAT	PIKFYVE
NACC2	VHL
P2RY2	BRK1
RARS2	COMT
RARS2	TGM2
INO80C	SAT1
PIGV	CBX5
DAZ3	GDAP1
PTGS1	PTGIS
PTGS1	RFFL
PTGS1	ARFGAP3
PTGS1	NMU
PTGS1	PTTG1IP
TMPRSS6	DYNC1H1
TMPRSS6	KLK6
ARMCX4	KLK6
DPY19L3	KLK6
UQCC1	KLK6
TRNAU1AP	DLST
TRNAU1AP	CALR
PODXL2	KLK6
GPR160	LMO3
GPR160	SETDB1
GPR160	YWHAG
GPR160	PRKCA
FSCN2	LMO3
FSCN2	KAT5
FSCN2	PRKCA
HOXB13	ALX4
HOXB13	ZNF490
HOXB13	LMO3
HOXB13	KAT5
HOXB13	SETDB1
HOXB13	YWHAG
HOXB13	PRKCA
SDHC	LMO3
SDHC	KAT5
SDHC	SETDB1
SDHC	YWHAG
SDHC	PRKCA
BAGE	LMO3
BAGE	KAT5
BAGE	PRKCA
PROS1	TBK1
PROS1	RPSA
PROS1	LMO3
HCRTR2	PPIA
PDZRN4	TARDBP
ZC3HC1	PDPK1
ZC3HC1	UCHL1
ZC3HC1	ATXN1
SLC52A3	ATXN3
ALDH1L2	HTT
SPANXC	SETBP1
SPANXC	HTT
PLXNA4	HTT
TEX55	HTT
ZDHHC19	HTT
SCFD1	USP22
SCFD1	HTT
PCSK2	BOD1
KLHL17	VHL
KLHL17	TARDBP
KLHL17	ATXN1
KLHL17	PRKN
COX7A1	DNAJB6
COX7A1	NUP58
COX7A1	KLF11
COX7A1	NDUFS1
IQCF1	CASP6
IQCF1	LAMP2
SMIM12	PRPF40A
SMIM12	SH3GLB1
SMIM12	LAMP2
LIPT1	TPI1
LIPT1	LMO3
LIPT1	CASP6
LIPT1	KAT5
LIPT1	PRKCA
LIPT1	LAMP2
PRPH2	PRPF40A
PRPH2	SH3GLB1
PRPH2	CCK
PRPH2	LAMP2
CITED1	SMAD4
CITED1	CCK
CITED1	CASP6
CITED1	LAMP2
SLC25A20	LAMP2
BOK	BCL2A1
BOK	NOA1
BOK	GDAP1
BOK	DNM2
BOK	ATP1A3
BOK	PECAM1
BOK	HSPD1
WDCP	RPS27
WDCP	PDPK1
WDCP	TAB1
WDCP	CSNK1G1
LPAL2	CCK
LPAL2	CASP6
LPAL2	RAN
ACTL7B	CASP6
ACTL7B	RAN
ACTL7B	LAMP2
ACTL7B	HIP1
UBQLN3	NUP58
UBQLN3	KLF11
CABCOCO1	HTT
RASL11A	HTT
CCIN	VHL
CCIN	TARDBP
CCIN	PRKN
CCIN	HTT
GLIPR1	HTT
KCNMB2	WFS1
KCNMB2	HTT
SLC44A5	TARDBP
SLC44A5	HTT
OTOGL	HTT
SPINK13	HTT
PDE1A	HTT
CLEC2B	HTT
FAM78A	HTT
PLA2G4C	HTT
ATG4C	HTT
GALNT4	HTT
AGK	SNX4
AGK	HTT
OOSP2	HTT
OOSP2	SNCA
BACE2	LGALS9C
BACE2	CATSPERD
BACE2	TCP10L
BACE2	RFFL
BACE2	TMTC1
BACE2	RHNO1
BACE2	TEX12
BACE2	SCAPER
BACE2	ARFGAP3
BACE2	LARP4B
BACE2	DUSP10
BACE2	STX11
BACE2	TPM3
BACE2	MATK
BACE2	LASP1
BACE2	KRT19
BACE2	ASAH1
BACE2	APP
CALHM1	APP
PDK1	XRCC6
PDK1	APP
PPP2R2B	APP
SST	APP
ACAN	APP
CPB1	APP
PLD2	UNG
RNF19A	SUFU
RNF19A	RPS6KA5
RNF19A	NUDT21
RNF19A	MAP3K7
RNF19A	ILK
RNF19A	C11orf58
RNF19A	MAP3K20
RNF19A	SOD1
FAM74A6	CEP44
FAM74A6	LZTS2
FAM74A6	RPGRIP1
FAM74A6	KRT40
FAM74A6	PDE4DIP
FAM74A6	MTUS2
FAM74A6	CCDC85B
FAM74A6	KRTAP10-8
FAM74A6	KRTAP10-7
FAM74A6	KRTAP5-9
FAM74A6	CCNDBP1
FAM74A6	MEOX2
FAM74A6	GRN
GPR141	PRKN
GPR141	HTT
GPR141	GRN
MOGAT3	GRN
ZNF791	GRN
FAM98C	DR1
FAM98C	TARDBP
