MAGED4B	SNX29
MAGED4B	REXO1
MAGED4B	REPS2
MAGED4B	PJA2
TRIM39	ZNF19
TRIM39	ZNF621
SEC24A	TRMT1
ACMSD	ANKMY2
NAALAD2	NAALADL2
IGSF3	NAALADL2
IGSF3	NAALAD2
PCGF2	YAF2
PCGF2	RYBP
PCGF2	PCGF5
PCGF2	PCGF3
EGR2	SNAI1
TPGS2	TTLL1
C12orf57	VCL
CHML	RABGGTA
NAA20	UROC1
NAA20	NAA25
NDUFAF5	XRCC2
NDUFAF5	RAD51D
NDUFAF5	RAD51B
NAA35	ZADH2
NAA35	TUBE1
NAA35	TUBD1
NAA35	PRR12
NAA35	PPIL2
NAA35	TSR3
NAA35	TEDC2
NAA35	TBC1D10A
KLF13	ZADH2
KLF13	TUBE1
KLF13	TUBD1
KLF13	PRR12
KLF13	PPIL2
KLF13	TSR3
KLF13	TEDC2
KLF13	TBC1D10A
KLF13	NAA35
KLF13	LSG1
KLF13	LCMT2
PBDC1	TTLL12
MYO19	ZBTB20
MYO19	PLEKHG3
DST	ZBTB20
DST	PLEKHG3
DST	MYO19
COL9A1	PPP1R12C
PIGM	SLC47A1
NADK2	PPA2
LRFN4	MYO18A
LRFN4	MYL12B
UQCR10	UQCRH
APLF	XRCC1
APLF	POLB
APLF	XRCC5
APLF	LIG3
APLF	MSH3
APLF	HLTF
PAK5	PAK6
PAK4	PAK6
PAK4	PAK5
ATP2B2	HSD17B6
KYAT1	RBM22
KYAT1	SERPINB2
KYAT1	PALLD
DLAT	STAT5B
DLAT	STAT5A
DLAT	PDHX
DLAT	PDHB
DLAT	PDHA1
SIRPA	SIRPG
CISD1	SRR
CISD1	POLD3
CISD1	MTPAP
FCGR2B	FCGR2C
FCGR2A	NFYC
FCGR2A	NFYB
FCGR2A	FCGR2C
FCGR2A	FCGR2B
ACOT7	NECAP1
ACOT7	NECAP2
AASS	FARSB
AASS	DIS3
SYAP1	TCEA1
CLCN7	FAM177A1
CLCN7	RABL3
NEFM	SHTN1
LURAP1L	SHTN1
LURAP1L	NEFM
FBXO28	PAK2
FBXO28	GIT2
FBXO28	GIT1
FBXO28	SHTN1
FBXO28	NEFM
FBXO28	LURAP1L
CDC42BPA	SHTN1
CDC42BPA	NEFM
CDC42BPA	LURAP1L
CDC42BPA	FBXO28
CEP72	PPP2R3C
CEP72	KIAA0753
EIF2AK2	RECQL
EIF2AK2	HPCAL1
SPATA6L	ZBTB1
ENGASE	PDXP
GANC	TRMT10C
GANC	HSD17B10
ARHGDIG	TRMT10C
ARHGDIG	HSD17B10
ARHGDIG	GANC
AGO1	TRMT10C
AGO1	HSD17B10
AGO1	GANC
AGO1	ARHGDIG
PCMTD2	SEPTIN3
PCMTD2	SEPTIN14
ARL17A	TSPAN3
ARL17A	PI4K2A
ARL17A	EPHA5
C2orf69	COTL1
MEOX1	MEOX2
MVB12B	USP14
TMEM245	TMEM68
LYPD6	TMEM68
LYPD6	TMEM245
REG1A	REG1B
DIAPH3	SACS
DIAPH3	MEX3B
DIAPH3	ENPP6
ABITRAM	PUS10
IDE	SERPINB8
IDE	THOP1
IQCE	TTC23L
ALB	TF
ALB	SERPINA1
ALB	FGG
ALB	FGB
ALB	APOA1
NCDN	ZNHIT2
NCDN	TSSC4
NCDN	SLC7A6OS
TFE3	TFEB
MITF	TFEB
MITF	TFE3
C3orf38	DNAJB5
C3orf38	DNAJB4
AGTRAP	SACS
AGTRAP	DIAPH3
AGTRAP	MEX3B
AGTRAP	ENPP6
AGTRAP	CRLF3
CLEC4M	HTR1B
CD209	HTR1B
CD209	CLEC4M
B4GALNT1	ITM2B
CUEDC1	ZNF114
GLUL	TCHP
BROX	MPP1
BLVRB	RAC1
BLVRB	CYRIB
BLVRB	CRIP2
BLVRB	MPP1
BLVRB	BROX
POLR1C	POLR3K
POLR1C	POLR3H
POLR1C	POLR3G
POLR1C	POLR3D
POLR1C	POLR3C
POLR1C	POLR3B
POLR1C	POLR3A
FKBP9	SNRK
ADAMTS12	SNRK
ADAMTS12	FKBP9
ARHGDIB	RRM1
S100A7A	SUSD3
CD207	SUSD3
CD207	S100A7A
ITIH2	ORM2
HLA-DRA	KLK4
HLA-DMB	KLK4
HLA-DMB	HLA-DRA
NME7	TUBGCP6
NME7	TUBGCP5
NME7	TUBGCP4
NME7	TUBGCP3
NME7	TUBGCP2
NME7	TUBG1
NEDD1	TUBGCP6
NEDD1	TUBGCP5
NEDD1	TUBGCP4
NEDD1	TUBGCP3
NEDD1	TUBGCP2
NEDD1	TUBG1
NEDD1	NME7
MZT2B	TUBGCP6
MZT2B	TUBGCP5
MZT2B	TUBGCP4
MZT2B	TUBGCP3
MZT2B	TUBGCP2
MZT2B	TUBG1
MZT2B	NME7
MZT2B	NEDD1
MZT2A	TUBGCP6
MZT2A	TUBGCP5
MZT2A	TUBGCP4
MZT2A	TUBGCP3
MZT2A	TUBGCP2
MZT2A	TUBG1
MZT2A	NME7
MZT2A	NEDD1
MZT2A	MZT2B
MZT1	TUBGCP6
MZT1	TUBGCP5
MZT1	TUBGCP4
MZT1	TUBGCP3
MZT1	TUBGCP2
MZT1	TUBG1
MZT1	NME7
MZT1	NEDD1
MZT1	MZT2B
MZT1	MZT2A
ADD3	ANKRD29
ARF6	TGOLN2
LRRTM2	TMEM38B
FAM161B	TXN2
FAM161B	TXN
FAM161B	SOD1
FAM161B	RGN
C4BPA	TXN2
C4BPA	TXN
C4BPA	SOD1
C4BPA	RGN
C4BPA	FAM161B
C4BPA	CCS
C4BPA	CBFB
ATP11A	NPDC1
COLEC11	NELL2
EVI5L	RAB11A
CMPK1	RBM22
CMPK1	SERPINB2
CMPK1	PALLD
CMPK1	KYAT1
CMPK1	TPI1
CMPK1	ENO1
KIF27	TSC2
KIF27	TSC1
KIF27	TBC1D7
GLRX5	PHPT1
GLRX5	PGP
AASDH	TRIM9
AASDH	TBC1D2
AASDH	MYH4
AASDH	MYH1
AASDH	KRT40
AASDH	ANKRD36
PTK7	TMX4
BTN2A2	TMX4
BTN2A2	CNNM2
BTN2A2	PTK7
BTN2A1	TMX4
BTN2A1	CNNM2
BTN2A1	PTK7
BTN2A1	BTN2A2
ITSN1	LSM8
CAMKK2	RPS6KA5
CAMKK2	RHBDF1
CAMKK2	MKNK1
CAMKK2	MEF2D
CAMKK2	KIF22
CAMKK2	HOXC9
CAMKK2	HOXB9
CAMKK2	HOXB6
CAMKK2	HOXA10
CAMKK2	DUSP16
CAMKK2	MKNK2
CAMKK2	MAPKAPK2
CAMKK2	MAPK14
FHIP2A	TNFSF13B
FHIP2A	PDSS1
FHIP2A	MAP3K6
FHIP2A	MAP3K5
FHIP2A	MAP3K15
IAH1	NAGK
MINK1	WIPF3
MINK1	NCK2
PMVK	TXNRD1
PMVK	TPD52L2
STPG3	TIMM8B
STPG3	TIMM13
CD68	LGALS1
FAM3A	MFGE8
FAM3A	ITGB5
MREG	TOR1AIP1
CHCHD4	TOR1AIP1
CHCHD4	MREG
PIGW	TMEM143
PIGW	TMEM120B
PIGW	SLC39A4
PIGW	S1PR5
ACVR1	ACVRL1
MAPK15	RBL1
INSL3	NSUN4
EIF3CL	JOSD1
EIF3CL	EIF4G2
EIF3CL	EIF3F
EIF3CL	PRRC2B
EIF3CL	EIF3M
EIF3CL	EIF3L
EIF3CL	EIF3K
EIF3CL	EIF3J
EIF3CL	EIF3I
EIF3CL	EIF3H
