Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
d014807	Calcifediol	D002112	19356-17-3	HIF1A	3091	Homo sapiens	9606	34255241
d014807	Calcifediol	D002112	19356-17-3	IBSP	3381	Homo sapiens	9606	21542014
d014807	Calcifediol	D002112	19356-17-3	ICAM1	3383	Homo sapiens	9606	34255241
d014807	Calcifediol	D002112	19356-17-3	INS	3630	Homo sapiens	9606	24401716
d014807	Calcifediol	D002112	19356-17-3	MAP1LC3B	81631	Homo sapiens	9606	34255241
d014807	Calcifediol	D002112	19356-17-3	MAPK1	5594	Homo sapiens	9606	34255241
d014807	Calcifediol	D002112	19356-17-3	MAPK3	5595	Homo sapiens	9606	34255241
d014807	Calcifediol	D002112	19356-17-3	MFF	56947	Homo sapiens	9606	34255241
d014807	Calcifediol	D002112	19356-17-3	PCNA	5111	Homo sapiens	9606	21542014
d014807	Calcifediol	D002112	19356-17-3	RELA	5970	Homo sapiens	9606	34255241
d014807	Calcifediol	D002112	19356-17-3	RUNX2	860	Homo sapiens	9606	21542014
d014807	Calcifediol	D002112	19356-17-3	TNF	7124	Homo sapiens	9606	11135059|34255241
d014807	Calcifediol	D002112	19356-17-3	VDR	7421	Homo sapiens	9606	17997857|20079722|21291553|24792400
d014807	calcipotriene	C055085		ABCC3	8714	Homo sapiens	9606	30419252
d014807	calcipotriene	C055085		BECN1	8678	Homo sapiens	9606	21228817
d014807	calcipotriene	C055085		CAMP	820	Homo sapiens	9606	24039193
d014807	calcipotriene	C055085		CYP24A1	1591	Homo sapiens	9606	7530193
d014807	calcipotriene	C055085		CYP7A1	1581	Homo sapiens	9606	30419252
d014807	calcipotriene	C055085		FLG	2312	Homo sapiens	9606	7508215
d014807	calcipotriene	C055085		IVL	3713	Homo sapiens	9606	7508215
d014807	calcipotriene	C055085		KRT10	3858	Homo sapiens	9606	7508215
d014807	calcipotriene	C055085		KRT16	3868	Homo sapiens	9606	7508215
d014807	calcipotriene	C055085		KRT17	3872	Homo sapiens	9606	7508215
d014807	calcipotriene	C055085		NR0B2	8431	Homo sapiens	9606	30419252
d014807	calcipotriene	C055085		NR1I3	9970	Homo sapiens	9606	31312845
d014807	calcipotriene	C055085		VDR	7421	Homo sapiens	9606	15864137|30419252|7530193
d014807	Calcitriol	D002117	32222-06-3	AARD	441376	Homo sapiens	9606	26485663
d014807	Calcitriol	D002117	32222-06-3	ABAT	18	Homo sapiens	9606	16002434
d014807	Calcitriol	D002117	32222-06-3	ABCA1	19	Homo sapiens	9606	16002434
d014807	Calcitriol	D002117	32222-06-3	ABCA12	26154	Homo sapiens	9606	21592394
d014807	Calcitriol	D002117	32222-06-3	ABCA3	21	Homo sapiens	9606	26485663
d014807	Calcitriol	D002117	32222-06-3	ABCB1	5243	Homo sapiens	9606	12387747|19460946|26366751|27107558|31628941
d014807	Calcitriol	D002117	32222-06-3	ABCB10	23456	Homo sapiens	9606	12875902
d014807	Calcitriol	D002117	32222-06-3	ABCB5	340273	Homo sapiens	9606	16002434
d014807	Calcitriol	D002117	32222-06-3	ABCC1	4363	Homo sapiens	9606	21592394
d014807	Calcitriol	D002117	32222-06-3	ABCC2	1244	Homo sapiens	9606	27107558
d014807	Calcitriol	D002117	32222-06-3	ABCC3	8714	Homo sapiens	9606	15824121
d014807	Calcitriol	D002117	32222-06-3	ABCD3	5825	Homo sapiens	9606	21592394
d014807	Calcitriol	D002117	32222-06-3	ABHD16B	140701	Homo sapiens	9606	21592394
d014807	Calcitriol	D002117	32222-06-3	ABHD3	171586	Homo sapiens	9606	16002434|21592394
d014807	Calcitriol	D002117	32222-06-3	ABI3BP	25890	Homo sapiens	9606	26485663
d014807	Calcitriol	D002117	32222-06-3	ABL1	25	Homo sapiens	9606	21592394
d014807	Calcitriol	D002117	32222-06-3	ABLIM1	3983	Homo sapiens	9606	16002434
d014807	Calcitriol	D002117	32222-06-3	ABTB1	80325	Homo sapiens	9606	21592394
d014807	Calcitriol	D002117	32222-06-3	ACADM	34	Homo sapiens	9606	16002434
d014807	Calcitriol	D002117	32222-06-3	ACADSB	36	Homo sapiens	9606	26485663
